release_year,album
1961,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991"
1962,Bob Dylan
1963,The Freewheelin'
1964,The Times They Are A-Changin'
1964,Another Side of Bob Dylan
1965,Highway 61 Revisited
1965,Bringing It All Back Home
1966,Blonde on Blonde
1967,John Wesley Harding
1967,Bob Dylan's Greatest Hits
1969,Nashville Skyline
1970,New Morning
1970,Self Portrait
1971,Bob Dylan’s Greatest Hits Volume II
1973,Pat Garrett and Billy The Kid
1974,Planet Waves
1975,Blood on the Tracks
1975,Biograph
1975,The Basement Tapes
1976,Desire
1978,Street-legal
1979,Slow Train Coming
1980,Saved
1980,Too Late
1980,"Springtime in New York: The Bootleg Series, Vol. 16"
1981,Shot of Love
1983,Infields
1985,Empire Burlesque
1986,Knocked Out Loaded
1988,Death Is Not the End
1989,Oh Mercy
1990,Under the Red Sky
1994,Greatest Hits Volume 3
1997,Time out of Mind
2001,Love and Theft
2006,Modern Times
2009,Together Through Life
2012,Tempest
2020,Rough and Rowdy Ways
